Date,Open,High,Low,Close,Adj Close,Volume
2017-03-30,55.608002,60.976002,55.264000,59.000000,59.000000,196735500
2017-04-06,59.375999,62.745998,58.820000,59.368000,59.368000,147700000
2017-04-13,59.340000,61.478001,59.060001,61.104000,61.104000,101785000
2017-04-20,61.301998,62.900002,60.046001,62.034000,62.034000,135877000
2017-04-27,62.338001,65.531998,61.500000,62.203999,62.203999,146599500
2017-05-04,61.487999,65.099998,58.152000,65.043999,65.043999,223769500
2017-05-11,64.680000,65.400002,61.099998,61.222000,61.222000,136809000
2017-05-18,61.400002,63.299999,60.695999,62.043999,62.043999,120111500
2017-05-25,62.203999,68.578003,61.562000,68.202003,68.202003,152812500
2017-06-01,68.800003,72.099998,66.842003,71.930000,71.930000,202337000
2017-06-08,72.750000,76.849998,70.124001,76.132004,76.132004,307334500
2017-06-15,74.500000,75.776001,73.297997,75.279999,75.279999,180343500
2017-06-22,75.598000,77.398003,72.403999,74.248001,74.248001,169393000
2017-06-29,74.122002,74.269997,65.265999,65.417999,65.417999,187108000
2017-07-06,63.452000,66.620003,60.625999,65.903999,65.903999,346139000
2017-07-13,66.022003,66.330002,62.689999,65.052002,65.052002,184136500
2017-07-20,65.379997,69.120003,64.839996,68.769997,68.769997,152574500
2017-07-27,69.199997,69.500000,62.243999,65.178001,65.178001,215562500
2017-08-03,69.066002,74.000000,68.629997,72.706001,72.706001,217351500
2017-08-10,72.320000,73.531998,70.723999,72.582001,72.582001,112384000
2017-08-17,72.241997,72.660004,66.370003,70.554001,70.554001,131039000
2017-08-24,70.503998,71.332001,67.750000,70.636002,70.636002,96596500
2017-08-31,70.709999,71.688004,68.311996,68.905998,68.905998,75244000
2017-09-07,69.195999,73.751999,68.459999,73.246002,73.246002,126639500
2017-09-14,72.865997,77.921997,72.526001,74.781998,74.781998,155910000
2017-09-21,74.980003,75.365997,68.099998,68.194000,68.194000,168000500
2017-09-28,67.975998,71.723999,66.255997,71.001999,71.001999,170153000
2017-10-05,71.199997,72.019997,68.533997,70.919998,70.919998,137211000
2017-10-12,70.589996,72.599998,69.431999,71.930000,71.930000,106177000
